No.,Unit weight (KN/m3),Cohesion (Kpa),Internal friction angle (°),Slope angle (°),Slope height (m),Pore water ratio,Slope State,Source
464,17.8,38.7,30.5,60,26,0,S,"Shen, Y., Wu, S., Cheng, H., Zhang, H., Wang, J., Yang, Z., An, H., Song, X., 2023. Uncertainty analysis method of slope safety factor based on quantile-based ensemble learning. Bull Eng Geol Environ 82, 87. https://doi.org/10.1007/s10064-023-03091-w"
465,17.98,15,25,25,14,0.3,S,"Shen, Y., Wu, S., Cheng, H., Zhang, H., Wang, J., Yang, Z., An, H., Song, X., 2023. Uncertainty analysis method of slope safety factor based on quantile-based ensemble learning. Bull Eng Geol Environ 82, 87. https://doi.org/10.1007/s10064-023-03091-w"
466,21.96,34.77,14.15,28,60,0,S,"Shen, Y., Wu, S., Cheng, H., Zhang, H., Wang, J., Yang, Z., An, H., Song, X., 2023. Uncertainty analysis method of slope safety factor based on quantile-based ensemble learning. Bull Eng Geol Environ 82, 87. https://doi.org/10.1007/s10064-023-03091-w"
467,25.96,50,45,50,200,0,S,"Shen, Y., Wu, S., Cheng, H., Zhang, H., Wang, J., Yang, Z., An, H., Song, X., 2023. Uncertainty analysis method of slope safety factor based on quantile-based ensemble learning. Bull Eng Geol Environ 82, 87. https://doi.org/10.1007/s10064-023-03091-w"
468,20,0,36,45,50,0.25,F,"Zhang, X., Chen, X., Song, Y., Ma,  peixin, 2022. Application of BP Neural Network Optimized by Particle Swarm Optimization Algorithm in Slope Stability. MINING R&D 42, 71–76.-张晓宸"
469,20,0,36,45,50,0.5,F,"Zhang, X., Chen, X., Song, Y., Ma,  peixin, 2022. Application of BP Neural Network Optimized by Particle Swarm Optimization Algorithm in Slope Stability. MINING R&D 42, 71–76.-张晓宸"
470,22,0,40,33,8,0.35,S,"Zhang, X., Chen, X., Song, Y., Ma,  peixin, 2022. Application of BP Neural Network Optimized by Particle Swarm Optimization Algorithm in Slope Stability. MINING R&D 42, 71–76.-张晓宸"
471,20,0,24.5,20,8,0.35,S,"Zhang, X., Chen, X., Song, Y., Ma,  peixin, 2022. Application of BP Neural Network Optimized by Particle Swarm Optimization Algorithm in Slope Stability. MINING R&D 42, 71–76.-张晓宸"
472,18,5,30,20,8,0.3,S,"Zhang, X., Chen, X., Song, Y., Ma,  peixin, 2022. Application of BP Neural Network Optimized by Particle Swarm Optimization Algorithm in Slope Stability. MINING R&D 42, 71–76.-张晓宸"
473,27,40,35,43,420,0.25,S,"Zhang, X., Chen, X., Song, Y., Ma,  peixin, 2022. Application of BP Neural Network Optimized by Particle Swarm Optimization Algorithm in Slope Stability. MINING R&D 42, 71–76.-张晓宸"
474,27,50,40,42,407,0.25,S,"Zhang, X., Chen, X., Song, Y., Ma,  peixin, 2022. Application of BP Neural Network Optimized by Particle Swarm Optimization Algorithm in Slope Stability. MINING R&D 42, 71–76.-张晓宸"
475,12,0,30,5,4,0.25,F,"Zhang, X., Chen, X., Song, Y., Ma,  peixin, 2022. Application of BP Neural Network Optimized by Particle Swarm Optimization Algorithm in Slope Stability. MINING R&D 42, 71–76.-张晓宸"
476,12,0,30,45,8,0.25,S,"Zhang, X., Chen, X., Song, Y., Ma,  peixin, 2022. Application of BP Neural Network Optimized by Particle Swarm Optimization Algorithm in Slope Stability. MINING R&D 42, 71–76.-张晓宸"
477,20,20,36,45,50,0.25,S,"Zhang, X., Chen, X., Song, Y., Ma,  peixin, 2022. Application of BP Neural Network Optimized by Particle Swarm Optimization Algorithm in Slope Stability. MINING R&D 42, 71–76.-张晓宸"
478,27,40,35,47.1,292,0.25,S,"Zhang, X., Chen, X., Song, Y., Ma,  peixin, 2022. Application of BP Neural Network Optimized by Particle Swarm Optimization Algorithm in Slope Stability. MINING R&D 42, 71–76.-张晓宸"
479,25,46,35,50,284,0.25,S,"Zhang, X., Chen, X., Song, Y., Ma,  peixin, 2022. Application of BP Neural Network Optimized by Particle Swarm Optimization Algorithm in Slope Stability. MINING R&D 42, 71–76.-张晓宸"
480,25,55,36,44.5,299,0.25,S,"Zhang, X., Chen, X., Song, Y., Ma,  peixin, 2022. Application of BP Neural Network Optimized by Particle Swarm Optimization Algorithm in Slope Stability. MINING R&D 42, 71–76."
481,19.5,9,17.5,25,3,0.25,S,"Liu, Q., Sun, C., Fan, X., Ju, C., 2025. Intelligent Prediction of Slope Stability Based on Unbalanced Data Sets. HENAN SCIENCE 43, 372–380."
482,18.5,12,0,30,6,0.25,F,"Liu, Q., Sun, C., Fan, X., Ju, C., 2025. Intelligent Prediction of Slope Stability Based on Unbalanced Data Sets. HENAN SCIENCE 43, 372–380."
483,12,0,30,45,8,0.25,F,"Liu, Q., Sun, C., Fan, X., Ju, C., 2025. Intelligent Prediction of Slope Stability Based on Unbalanced Data Sets. HENAN SCIENCE 43, 372–380."
484,22.38,33.3,45,45,10,0.4,S,"Liu, Q., Sun, C., Fan, X., Ju, C., 2025. Intelligent Prediction of Slope Stability Based on Unbalanced Data Sets. HENAN SCIENCE 43, 372–380."
485,16,9,17.5,14,14,0.25,S,"Liu, Q., Sun, C., Fan, X., Ju, C., 2025. Intelligent Prediction of Slope Stability Based on Unbalanced Data Sets. HENAN SCIENCE 43, 372–380."
486,19.5,9,13,14,14,0.3,F,"Liu, Q., Sun, C., Fan, X., Ju, C., 2025. Intelligent Prediction of Slope Stability Based on Unbalanced Data Sets. HENAN SCIENCE 43, 372–380."
487,23,20,20.3,36.2,40.3,0,F,"Liu, Q., Sun, C., Fan, X., Ju, C., 2025. Intelligent Prediction of Slope Stability Based on Unbalanced Data Sets. HENAN SCIENCE 43, 372–380."
488,24,22.6,15.8,33,43.7,0,F,"Liu, Q., Sun, C., Fan, X., Ju, C., 2025. Intelligent Prediction of Slope Stability Based on Unbalanced Data Sets. HENAN SCIENCE 43, 372–380."
489,23.4,15,38.5,30.3,45.2,0,S,"Liu, Q., Sun, C., Fan, X., Ju, C., 2025. Intelligent Prediction of Slope Stability Based on Unbalanced Data Sets. HENAN SCIENCE 43, 372–380."
490,18,24,30.2,45,20,0.12,F,"Wang, X., Wu, S., Han, L., Wang, J., Cui, J., Shen, Y., 2024. Wang, X., Wu, S., Han, L., Wang, J., Cui, J., Shen, Y., 2024. Slope stability prediction based on GSOEM-SV: A mobile application practicably deploy in engineering verification. Advances in Engineering Software 192, 103648.. Advances in Engineering Software 192, 103648. https://doi.org/10.1016/j.advengsoft.2024.103648"
491,26.49,150,33,45,73,0.15,S,"Wang, X., Wu, S., Han, L., Wang, J., Cui, J., Shen, Y., 2024. Slope stability prediction based on GSOEM-SV: A mobile application practicably deploy in engineering verification. Advances in Engineering Software 192, 103648."
492,26.78,300,38.7,54,155,0.25,F,"Wang, X., Wu, S., Han, L., Wang, J., Cui, J., Shen, Y., 2024. Slope stability prediction based on GSOEM-SV: A mobile application practicably deploy in engineering verification. Advances in Engineering Software 192, 103648."
493,26.81,200,35,58,138,0.25,S,"Wang, X., Wu, S., Han, L., Wang, J., Cui, J., Shen, Y., 2024. Slope stability prediction based on GSOEM-SV: A mobile application practicably deploy in engineering verification. Advances in Engineering Software 192, 103648."
494,26.43,50,26.6,40,92.2,0.15,S,"Wang, X., Wu, S., Han, L., Wang, J., Cui, J., Shen, Y., 2024. Slope stability prediction based on GSOEM-SV: A mobile application practicably deploy in engineering verification. Advances in Engineering Software 192, 103648."
495,26.7,50,26.6,50,170,0.25,S,"Wang, X., Wu, S., Han, L., Wang, J., Cui, J., Shen, Y., 2024. Slope stability prediction based on GSOEM-SV: A mobile application practicably deploy in engineering verification. Advances in Engineering Software 192, 103648."
496,26.8,60,28.8,59,108,0.25,S,"Wang, X., Wu, S., Han, L., Wang, J., Cui, J., Shen, Y., 2024. Slope stability prediction based on GSOEM-SV: A mobile application practicably deploy in engineering verification. Advances in Engineering Software 192, 103648."
497,20,0.1,36,45,50,0.29,F,"Wang, X., Wu, S., Han, L., Wang, J., Cui, J., Shen, Y., 2024. Slope stability prediction based on GSOEM-SV: A mobile application practicably deploy in engineering verification. Advances in Engineering Software 192, 103648."
498,18.8,9.8,21,19.29,39,0.25,F,"Wang, X., Wu, S., Han, L., Wang, J., Cui, J., Shen, Y., 2024. Slope stability prediction based on GSOEM-SV: A mobile application practicably deploy in engineering verification. Advances in Engineering Software 192, 103648."
499,27,43,35,43,420,0.29,F,"Wang, X., Wu, S., Han, L., Wang, J., Cui, J., Shen, Y., 2024. Slope stability prediction based on GSOEM-SV: A mobile application practicably deploy in engineering verification. Advances in Engineering Software 192, 103648."
500,23.4,15,38.5,30.3,45.2,0.28,F,"Wang, X., Wu, S., Han, L., Wang, J., Cui, J., Shen, Y., 2024. Slope stability prediction based on GSOEM-SV: A mobile application practicably deploy in engineering verification. Advances in Engineering Software 192, 103648."
501,18.8,8,26,21.8,40,0.4,F,"Wang, X., Wu, S., Han, L., Wang, J., Cui, J., Shen, Y., 2024. Slope stability prediction based on GSOEM-SV: A mobile application practicably deploy in engineering verification. Advances in Engineering Software 192, 103648."
502,22,0,36,45,50,0,F,"Wang, X., Wu, S., Han, L., Wang, J., Cui, J., Shen, Y., 2024. Slope stability prediction based on GSOEM-SV: A mobile application practicably deploy in engineering verification. Advances in Engineering Software 192, 103648."
503,18.5,25,0,30,6.003,0.29,F,"Wang, X., Wu, S., Han, L., Wang, J., Cui, J., Shen, Y., 2024. Slope stability prediction based on GSOEM-SV: A mobile application practicably deploy in engineering verification. Advances in Engineering Software 192, 103648."
504,21.83,8.62,32,28,12.8,0,F,"Wang, X., Wu, S., Han, L., Wang, J., Cui, J., Shen, Y., 2024. Slope stability prediction based on GSOEM-SV: A mobile application practicably deploy in engineering verification. Advances in Engineering Software 192, 103648."
505,20.41,33.52,11,16,45.72,0,F,"Wang, X., Wu, S., Han, L., Wang, J., Cui, J., Shen, Y., 2024. Slope stability prediction based on GSOEM-SV: A mobile application practicably deploy in engineering verification. Advances in Engineering Software 192, 103648."
506,20,0.1,36,45,50,0.503,F,"Wang, X., Wu, S., Han, L., Wang, J., Cui, J., Shen, Y., 2024. Slope stability prediction based on GSOEM-SV: A mobile application practicably deploy in engineering verification. Advances in Engineering Software 192, 103648."
507,18.5,25,0,30,6,0,F,"Wang, X., Wu, S., Han, L., Wang, J., Cui, J., Shen, Y., 2024. Slope stability prediction based on GSOEM-SV: A mobile application practicably deploy in engineering verification. Advances in Engineering Software 192, 103648."
508,19.6,29.6,23,40,58,0,F,"Wang, X., Wu, S., Han, L., Wang, J., Cui, J., Shen, Y., 2024. Slope stability prediction based on GSOEM-SV: A mobile application practicably deploy in engineering verification. Advances in Engineering Software 192, 103648."
509,21.7,32,27,45,60,0,F,"Wang, X., Wu, S., Han, L., Wang, J., Cui, J., Shen, Y., 2024. Slope stability prediction based on GSOEM-SV: A mobile application practicably deploy in engineering verification. Advances in Engineering Software 192, 103648."
510,21.2,0,35,23.75,150,0.25,F,"Wang, X., Wu, S., Han, L., Wang, J., Cui, J., Shen, Y., 2024. Slope stability prediction based on GSOEM-SV: A mobile application practicably deploy in engineering verification. Advances in Engineering Software 192, 103648."
511,21.43,0,20,20,61,0,F,"Wang, X., Wu, S., Han, L., Wang, J., Cui, J., Shen, Y., 2024. Slope stability prediction based on GSOEM-SV: A mobile application practicably deploy in engineering verification. Advances in Engineering Software 192, 103648."
512,20.8,14.8,21,30,40,0,F,"Wang, X., Wu, S., Han, L., Wang, J., Cui, J., Shen, Y., 2024. Slope stability prediction based on GSOEM-SV: A mobile application practicably deploy in engineering verification. Advances in Engineering Software 192, 103648."
513,14.8,0,17,20,50,0,F,"Wang, X., Wu, S., Han, L., Wang, J., Cui, J., Shen, Y., 2024. Slope stability prediction based on GSOEM-SV: A mobile application practicably deploy in engineering verification. Advances in Engineering Software 192, 103648."
514,27,40,35,47.1,292,0,F,"Wang, X., Wu, S., Han, L., Wang, J., Cui, J., Shen, Y., 2024. Slope stability prediction based on GSOEM-SV: A mobile application practicably deploy in engineering verification. Advances in Engineering Software 192, 103648."
515,20.8,15.4,21,30,53,0,F,"Wang, X., Wu, S., Han, L., Wang, J., Cui, J., Shen, Y., 2024. Slope stability prediction based on GSOEM-SV: A mobile application practicably deploy in engineering verification. Advances in Engineering Software 192, 103648."
516,27,32,33,42.6,301,0.29,F,"Wang, X., Wu, S., Han, L., Wang, J., Cui, J., Shen, Y., 2024. Slope stability prediction based on GSOEM-SV: A mobile application practicably deploy in engineering verification. Advances in Engineering Software 192, 103648."
517,12,0,30,45,8,0.29,F,"Wang, X., Wu, S., Han, L., Wang, J., Cui, J., Shen, Y., 2024. Slope stability prediction based on GSOEM-SV: A mobile application practicably deploy in engineering verification. Advances in Engineering Software 192, 103648."
518,20,30.3,25,45,53,0,F,"Wang, X., Wu, S., Han, L., Wang, J., Cui, J., Shen, Y., 2024. Slope stability prediction based on GSOEM-SV: A mobile application practicably deploy in engineering verification. Advances in Engineering Software 192, 103648."
519,19.63,11.97,20,22,12.19,0.405,F,"Wang, X., Wu, S., Han, L., Wang, J., Cui, J., Shen, Y., 2024. Slope stability prediction based on GSOEM-SV: A mobile application practicably deploy in engineering verification. Advances in Engineering Software 192, 103648."
520,12,0,30,45,8,0,F,"Wang, X., Wu, S., Han, L., Wang, J., Cui, J., Shen, Y., 2024. Slope stability prediction based on GSOEM-SV: A mobile application practicably deploy in engineering verification. Advances in Engineering Software 192, 103648."
521,12,0.03,30,35,4,0.29,F,"Wang, X., Wu, S., Han, L., Wang, J., Cui, J., Shen, Y., 2024. Slope stability prediction based on GSOEM-SV: A mobile application practicably deploy in engineering verification. Advances in Engineering Software 192, 103648."
522,18.82,25,14.6,20.32,50,0.4,F,"Wang, X., Wu, S., Han, L., Wang, J., Cui, J., Shen, Y., 2024. Slope stability prediction based on GSOEM-SV: A mobile application practicably deploy in engineering verification. Advances in Engineering Software 192, 103648."
523,20,8,20,10,10,0,F,"Wang, X., Wu, S., Han, L., Wang, J., Cui, J., Shen, Y., 2024. Slope stability prediction based on GSOEM-SV: A mobile application practicably deploy in engineering verification. Advances in Engineering Software 192, 103648."
524,17.4,20,24,18.43,51,0.4,F,"Wang, X., Wu, S., Han, L., Wang, J., Cui, J., Shen, Y., 2024. Slope stability prediction based on GSOEM-SV: A mobile application practicably deploy in engineering verification. Advances in Engineering Software 192, 103648."
525,27,40,35,47.1,292,0.25,F,"Wang, X., Wu, S., Han, L., Wang, J., Cui, J., Shen, Y., 2024. Slope stability prediction based on GSOEM-SV: A mobile application practicably deploy in engineering verification. Advances in Engineering Software 192, 103648."
526,22,29,15,18,400,0,F,"Wang, X., Wu, S., Han, L., Wang, J., Cui, J., Shen, Y., 2024. Slope stability prediction based on GSOEM-SV: A mobile application practicably deploy in engineering verification. Advances in Engineering Software 192, 103648."
527,22,20,36,45,50,0,F,"Wang, X., Wu, S., Han, L., Wang, J., Cui, J., Shen, Y., 2024. Slope stability prediction based on GSOEM-SV: A mobile application practicably deploy in engineering verification. Advances in Engineering Software 192, 103648."
528,22,10,35,45,10,0.403,F,"Wang, X., Wu, S., Han, L., Wang, J., Cui, J., Shen, Y., 2024. Slope stability prediction based on GSOEM-SV: A mobile application practicably deploy in engineering verification. Advances in Engineering Software 192, 103648."
529,20,30,36,45,50,0.29,F,"Wang, X., Wu, S., Han, L., Wang, J., Cui, J., Shen, Y., 2024. Slope stability prediction based on GSOEM-SV: A mobile application practicably deploy in engineering verification. Advances in Engineering Software 192, 103648."
530,21.8,32.7,27,50,50,0,F,"Wang, X., Wu, S., Han, L., Wang, J., Cui, J., Shen, Y., 2024. Slope stability prediction based on GSOEM-SV: A mobile application practicably deploy in engineering verification. Advances in Engineering Software 192, 103648."
531,21.1,33.5,28,40,31,0,F,"Wang, X., Wu, S., Han, L., Wang, J., Cui, J., Shen, Y., 2024. Slope stability prediction based on GSOEM-SV: A mobile application practicably deploy in engineering verification. Advances in Engineering Software 192, 103648."
532,31.3,68.6,37,47,305,0,F,"Wang, X., Wu, S., Han, L., Wang, J., Cui, J., Shen, Y., 2024. Slope stability prediction based on GSOEM-SV: A mobile application practicably deploy in engineering verification. Advances in Engineering Software 192, 103648."
533,16.05,11.49,0,30,3.66,0,F,"Wang, X., Wu, S., Han, L., Wang, J., Cui, J., Shen, Y., 2024. Slope stability prediction based on GSOEM-SV: A mobile application practicably deploy in engineering verification. Advances in Engineering Software 192, 103648."
534,18.68,26.34,15,35,8.23,0,F,"Wang, X., Wu, S., Han, L., Wang, J., Cui, J., Shen, Y., 2024. Slope stability prediction based on GSOEM-SV: A mobile application practicably deploy in engineering verification. Advances in Engineering Software 192, 103648."
535,18.5,25,0,30,6,0.25,F,"Wang, X., Wu, S., Han, L., Wang, J., Cui, J., Shen, Y., 2024. Slope stability prediction based on GSOEM-SV: A mobile application practicably deploy in engineering verification. Advances in Engineering Software 192, 103648."
536,18,5,22,15.52,53,0.4,F,"Wang, X., Wu, S., Han, L., Wang, J., Cui, J., Shen, Y., 2024. Slope stability prediction based on GSOEM-SV: A mobile application practicably deploy in engineering verification. Advances in Engineering Software 192, 103648."
537,16.5,11.49,0,30,3.66,0,F,"Wang, X., Wu, S., Han, L., Wang, J., Cui, J., Shen, Y., 2024. Slope stability prediction based on GSOEM-SV: A mobile application practicably deploy in engineering verification. Advances in Engineering Software 192, 103648."
538,22.4,29.3,26,50,50,0,F,"Wang, X., Wu, S., Han, L., Wang, J., Cui, J., Shen, Y., 2024. Slope stability prediction based on GSOEM-SV: A mobile application practicably deploy in engineering verification. Advances in Engineering Software 192, 103648."
539,26.57,300,38.7,45.3,80,0.15,F,"Wang, X., Wu, S., Han, L., Wang, J., Cui, J., Shen, Y., 2024. Slope stability prediction based on GSOEM-SV: A mobile application practicably deploy in engineering verification. Advances in Engineering Software 192, 103648."
540,21.1,34.2,26,30,75,0,F,"Wang, X., Wu, S., Han, L., Wang, J., Cui, J., Shen, Y., 2024. Slope stability prediction based on GSOEM-SV: A mobile application practicably deploy in engineering verification. Advances in Engineering Software 192, 103648."
541,22,21,23,30,257,0,F,"Wang, X., Wu, S., Han, L., Wang, J., Cui, J., Shen, Y., 2024. Slope stability prediction based on GSOEM-SV: A mobile application practicably deploy in engineering verification. Advances in Engineering Software 192, 103648."
542,20.6,32.4,26,35,55,0,F,"Wang, X., Wu, S., Han, L., Wang, J., Cui, J., Shen, Y., 2024. Slope stability prediction based on GSOEM-SV: A mobile application practicably deploy in engineering verification. Advances in Engineering Software 192, 103648."
543,21.8,31.2,25,30,60,0,F,"Wang, X., Wu, S., Han, L., Wang, J., Cui, J., Shen, Y., 2024. Slope stability prediction based on GSOEM-SV: A mobile application practicably deploy in engineering verification. Advances in Engineering Software 192, 103648."
544,20.6,26.31,22,25,35,0,F,"Wang, X., Wu, S., Han, L., Wang, J., Cui, J., Shen, Y., 2024. Slope stability prediction based on GSOEM-SV: A mobile application practicably deploy in engineering verification. Advances in Engineering Software 192, 103648."
545,31.3,68,37,46,366,0,F,"Wang, X., Wu, S., Han, L., Wang, J., Cui, J., Shen, Y., 2024. Slope stability prediction based on GSOEM-SV: A mobile application practicably deploy in engineering verification. Advances in Engineering Software 192, 103648."
546,20,20,36,45,50,0,F,"Wang, X., Wu, S., Han, L., Wang, J., Cui, J., Shen, Y., 2024. Slope stability prediction based on GSOEM-SV: A mobile application practicably deploy in engineering verification. Advances in Engineering Software 192, 103648."
547,23,24,19.8,23,380,0,F,"Wang, X., Wu, S., Han, L., Wang, J., Cui, J., Shen, Y., 2024. Slope stability prediction based on GSOEM-SV: A mobile application practicably deploy in engineering verification. Advances in Engineering Software 192, 103648."
548,22,20,36,45,30,0.29,F,"Wang, X., Wu, S., Han, L., Wang, J., Cui, J., Shen, Y., 2024. Slope stability prediction based on GSOEM-SV: A mobile application practicably deploy in engineering verification. Advances in Engineering Software 192, 103648."
549,23.2,31.2,23,30,33,0,F,"Wang, X., Wu, S., Han, L., Wang, J., Cui, J., Shen, Y., 2024. Slope stability prediction based on GSOEM-SV: A mobile application practicably deploy in engineering verification. Advances in Engineering Software 192, 103648."
550,18,21,21.33,21.8,40,0.4,F,"Wang, X., Wu, S., Han, L., Wang, J., Cui, J., Shen, Y., 2024. Slope stability prediction based on GSOEM-SV: A mobile application practicably deploy in engineering verification. Advances in Engineering Software 192, 103648."
551,18.5,12,0,30,6,0,F,"Wang, X., Wu, S., Han, L., Wang, J., Cui, J., Shen, Y., 2024. Slope stability prediction based on GSOEM-SV: A mobile application practicably deploy in engineering verification. Advances in Engineering Software 192, 103648."
552,18.84,0,20,20,7.62,0,F,"Wang, X., Wu, S., Han, L., Wang, J., Cui, J., Shen, Y., 2024. Slope stability prediction based on GSOEM-SV: A mobile application practicably deploy in engineering verification. Advances in Engineering Software 192, 103648."
553,20.6,27.8,27,35,70,0,F,"Wang, X., Wu, S., Han, L., Wang, J., Cui, J., Shen, Y., 2024. Slope stability prediction based on GSOEM-SV: A mobile application practicably deploy in engineering verification. Advances in Engineering Software 192, 103648."
554,31.3,68,37,49,200.5,0.29,F,"Wang, X., Wu, S., Han, L., Wang, J., Cui, J., Shen, Y., 2024. Slope stability prediction based on GSOEM-SV: A mobile application practicably deploy in engineering verification. Advances in Engineering Software 192, 103648."
555,14,11.97,26,30,88,0,F,"Wang, X., Wu, S., Han, L., Wang, J., Cui, J., Shen, Y., 2024. Slope stability prediction based on GSOEM-SV: A mobile application practicably deploy in engineering verification. Advances in Engineering Software 192, 103648."
556,18.5,12,0,30,6.003,0.29,F,"Wang, X., Wu, S., Han, L., Wang, J., Cui, J., Shen, Y., 2024. Slope stability prediction based on GSOEM-SV: A mobile application practicably deploy in engineering verification. Advances in Engineering Software 192, 103648."
557,21.8,28.8,26,35,99,0,F,"Wang, X., Wu, S., Han, L., Wang, J., Cui, J., Shen, Y., 2024. Slope stability prediction based on GSOEM-SV: A mobile application practicably deploy in engineering verification. Advances in Engineering Software 192, 103648."
558,16,7,20,40,115,0,F,"Wang, X., Wu, S., Han, L., Wang, J., Cui, J., Shen, Y., 2024. Slope stability prediction based on GSOEM-SV: A mobile application practicably deploy in engineering verification. Advances in Engineering Software 192, 103648."
559,22.4,28.9,24,28,35,0,F,"Wang, X., Wu, S., Han, L., Wang, J., Cui, J., Shen, Y., 2024. Slope stability prediction based on GSOEM-SV: A mobile application practicably deploy in engineering verification. Advances in Engineering Software 192, 103648."
560,20,20,36,45,30,0.503,F,"Wang, X., Wu, S., Han, L., Wang, J., Cui, J., Shen, Y., 2024. Slope stability prediction based on GSOEM-SV: A mobile application practicably deploy in engineering verification. Advances in Engineering Software 192, 103648."
561,27.3,10,39,41,511,0.29,S,"Wang, X., Wu, S., Han, L., Wang, J., Cui, J., Shen, Y., 2024. Slope stability prediction based on GSOEM-SV: A mobile application practicably deploy in engineering verification. Advances in Engineering Software 192, 103648."
562,21.4,10,30.34,30,20,0.25,S,"Wang, X., Wu, S., Han, L., Wang, J., Cui, J., Shen, Y., 2024. Slope stability prediction based on GSOEM-SV: A mobile application practicably deploy in engineering verification. Advances in Engineering Software 192, 103648."
563,28.44,39.23,38,35,100,0,S,"Wang, X., Wu, S., Han, L., Wang, J., Cui, J., Shen, Y., 2024. Slope stability prediction based on GSOEM-SV: A mobile application practicably deploy in engineering verification. Advances in Engineering Software 192, 103648."
564,23.5,25,20,49.1,115,0.41,S,"Wang, X., Wu, S., Han, L., Wang, J., Cui, J., Shen, Y., 2024. Slope stability prediction based on GSOEM-SV: A mobile application practicably deploy in engineering verification. Advances in Engineering Software 192, 103648."
565,22,0,36,45,50,0.25,S,"Wang, X., Wu, S., Han, L., Wang, J., Cui, J., Shen, Y., 2024. Slope stability prediction based on GSOEM-SV: A mobile application practicably deploy in engineering verification. Advances in Engineering Software 192, 103648."
566,12,0,30,35,4,0,S,"Wang, X., Wu, S., Han, L., Wang, J., Cui, J., Shen, Y., 2024. Slope stability prediction based on GSOEM-SV: A mobile application practicably deploy in engineering verification. Advances in Engineering Software 192, 103648."
567,18.6,0,32,26.5,46,0.25,S,"Wang, X., Wu, S., Han, L., Wang, J., Cui, J., Shen, Y., 2024. Slope stability prediction based on GSOEM-SV: A mobile application practicably deploy in engineering verification. Advances in Engineering Software 192, 103648."
568,25.6,39.8,36,30,32,0,S,"Wang, X., Wu, S., Han, L., Wang, J., Cui, J., Shen, Y., 2024. Slope stability prediction based on GSOEM-SV: A mobile application practicably deploy in engineering verification. Advances in Engineering Software 192, 103648."
569,27,50,40,42,407,0.29,S,"Wang, X., Wu, S., Han, L., Wang, J., Cui, J., Shen, Y., 2024. Slope stability prediction based on GSOEM-SV: A mobile application practicably deploy in engineering verification. Advances in Engineering Software 192, 103648."
570,27.8,27.8,27,41,236,0.1,S,"Wang, X., Wu, S., Han, L., Wang, J., Cui, J., Shen, Y., 2024. Slope stability prediction based on GSOEM-SV: A mobile application practicably deploy in engineering verification. Advances in Engineering Software 192, 103648."
571,25,46,35,46,432,0.29,S,"Wang, X., Wu, S., Han, L., Wang, J., Cui, J., Shen, Y., 2024. Slope stability prediction based on GSOEM-SV: A mobile application practicably deploy in engineering verification. Advances in Engineering Software 192, 103648."
572,18.6,0,32,21.8,46,0.25,S,"Wang, X., Wu, S., Han, L., Wang, J., Cui, J., Shen, Y., 2024. Slope stability prediction based on GSOEM-SV: A mobile application practicably deploy in engineering verification. Advances in Engineering Software 192, 103648."
573,17.2,10,24.25,17.07,38,0.4,S,"Wang, X., Wu, S., Han, L., Wang, J., Cui, J., Shen, Y., 2024. Slope stability prediction based on GSOEM-SV: A mobile application practicably deploy in engineering verification. Advances in Engineering Software 192, 103648."
574,21.4,10,30.34,30,20,0,S,"Wang, X., Wu, S., Han, L., Wang, J., Cui, J., Shen, Y., 2024. Slope stability prediction based on GSOEM-SV: A mobile application practicably deploy in engineering verification. Advances in Engineering Software 192, 103648."
575,27,38.4,33,25,22,0,S,"Wang, X., Wu, S., Han, L., Wang, J., Cui, J., Shen, Y., 2024. Slope stability prediction based on GSOEM-SV: A mobile application practicably deploy in engineering verification. Advances in Engineering Software 192, 103648."
576,26.5,35.4,32,30,21,0,S,"Wang, X., Wu, S., Han, L., Wang, J., Cui, J., Shen, Y., 2024. Slope stability prediction based on GSOEM-SV: A mobile application practicably deploy in engineering verification. Advances in Engineering Software 192, 103648."
577,12,0,30,45,4,0,S,"Wang, X., Wu, S., Han, L., Wang, J., Cui, J., Shen, Y., 2024. Slope stability prediction based on GSOEM-SV: A mobile application practicably deploy in engineering verification. Advances in Engineering Software 192, 103648."
578,27.3,10,39,40,480,0,S,"Wang, X., Wu, S., Han, L., Wang, J., Cui, J., Shen, Y., 2024. Slope stability prediction based on GSOEM-SV: A mobile application practicably deploy in engineering verification. Advances in Engineering Software 192, 103648."
579,26.2,42.8,37,30,37,0,S,"Wang, X., Wu, S., Han, L., Wang, J., Cui, J., Shen, Y., 2024. Slope stability prediction based on GSOEM-SV: A mobile application practicably deploy in engineering verification. Advances in Engineering Software 192, 103648."
580,21,10,30.343,30,30,0.29,S,"Wang, X., Wu, S., Han, L., Wang, J., Cui, J., Shen, Y., 2024. Slope stability prediction based on GSOEM-SV: A mobile application practicably deploy in engineering verification. Advances in Engineering Software 192, 103648."
581,23,20,20.3,46.2,40.3,0.25,S,"Wang, X., Wu, S., Han, L., Wang, J., Cui, J., Shen, Y., 2024. Slope stability prediction based on GSOEM-SV: A mobile application practicably deploy in engineering verification. Advances in Engineering Software 192, 103648."
582,27.4,38.1,31,25,42,0,S,"Wang, X., Wu, S., Han, L., Wang, J., Cui, J., Shen, Y., 2024. Slope stability prediction based on GSOEM-SV: A mobile application practicably deploy in engineering verification. Advances in Engineering Software 192, 103648."
583,22.5,20,16,25,220,0,S,"Wang, X., Wu, S., Han, L., Wang, J., Cui, J., Shen, Y., 2024. Slope stability prediction based on GSOEM-SV: A mobile application practicably deploy in engineering verification. Advances in Engineering Software 192, 103648."
